Country,CO2_emissions_miltonnes,,%_change_since_1990,,CO2_emissions_per_capita_tonnes,,CO2_emissions_per_km2_tonnes,
Afghanistan,0.71,,-73.3,,0.03,,1,
Albania,4.24,,-43.3,,1.35,,148,
Algeria,140.12,,77.6,,4.14,,59,
Andorra,0.54,,...,,6.48,,1152,
Angola,24.76,,459,,1.41,,20,
Anguilla,0.05,,...,,3.52,,560,
Antigua and Barbuda,0.44,,44.9,,5.09,,986,
Argentina,183.73,,63.1,,4.65,,66,
Armenia,5.06,,...,,1.65,,170,
Australia,396.28,,42.6,,19,,52,
Austria,74.18,,19.5,,8.93,,884,
Azerbaijan,31.77,,...,,3.68,,367,
Bahamas,2.15,,10.1,,6.44,,154,
Bangladesh,43.75,,181.7,,0.28,,304,
Barbados,1.35,,25.3,,5.29,,3130,
Belarus,56.58,,-44.6,,5.82,,273,
Belgium,114.54,,-3.4,,10.88,,3752,
Belize,0.43,,36.2,,1.44,,19,
Benin,3.88,,442.1,,0.46,,34,
Bermuda,0.51,,-14.2,,7.95,,9500,
Bhutan,0.58,,352.3,,0.86,,15,
Bolivia,13.19,,139.6,,1.38,,12,
Bosnia and Herzegovina,29.02,,...,,7.68,,567,
Botswana,5,,130.2,,2.64,,9,
Brazil,368.32,,76.3,,1.94,,43,
British Virgin Islands,0.1,,106.2,,4.39,,656,
Brunei Darussalam,7.61,,18.4,,19.8,,1319,
Bulgaria,58.89,,-31.7,,7.71,,531,
Burkina Faso,1.69,,188.6,,0.12,,6,
Burundi,0.18,,-40.8,,0.02,,6,
Cambodia,4.44,,884.7,,0.31,,25,
Cameroon,6.17,,254.9,,0.33,,13,
Canada,590.2,,29.5,,17.91,,59,
Cape Verde,0.31,,250,,0.63,,76,
Cayman Islands,0.54,,113,,9.8,,2042,
Central African Republic,0.25,,27.8,,0.06,,0,
Chad,0.38,,161.9,,0.04,,0,
Chile,71.71,,105.4,,4.31,,95,
China, 6 538.37,,165.7,,4.92,,681,
Colombia,63.44,,10.6,,1.43,,56,
Comoros,0.12,,57.1,,0.19,,54,
Congo,1.59,,33.7,,0.45,,5,
Cook Islands,0.07,,200,,3.38,,280,
Costa Rica,8.12,,174.7,,1.82,,159,
Cote d'Ivoire,6.38,,10.1,,0.32,,20,
Croatia,24.86,,7.6,,5.61,,439,
Cuba,27.06,,-18.9,,2.41,,246,
Cyprus,8.2,,76.2,,9.6,,886,
Czech Republic,130,,-20.9,,12.66,,1648,
Dem. Rep. of the Congo,2.44,,-40,,0.04,,1,
Denmark,54.59,1,0.9,1,9.83,1,1267,1
Djibouti,0.49,,22,,0.58,,21,
Dominica,0.12,,105.1,,1.8,,161,
Dominican Republic,20.76,,116.9,,2.12,,427,
Ecuador,29.99,,78.1,,2.25,,117,
Egypt,184.66,,143.2,,2.31,,184,
El Salvador,6.7,,155.9,,1.1,,318,
Equatorial Guinea,4.8,,3866.9,,7.47,,171,
Eritrea,0.58,,...,,0.12,,5,
Estonia,19.09,,-48.8,,14.22,,422,
Ethiopia,6.51,,115.6,,0.08,,6,
Faeroe Islands,0.7,,11.9,,14.12,,500,
Falkland Islands (Malvinas),0.06,,59.5,,19.68,,5,
Fiji,1.46,,78.4,,1.74,,80,
Finland,66.1,,16.8,,12.51,,195,
France,401.01,,0.8,,6.5,,727,
French Guiana,0.89,,10,,4.17,,10,
French Polynesia,0.81,,27.9,,3.08,,202,
Gabon,2.04,,-66.6,,1.43,,8,
Gambia,0.4,,107.3,,0.25,,35,
Georgia,6.03,,...,,1.38,,87,
Germany,841.15,,-18.8,,10.22,,2355,
Ghana,9.81,,149.5,,0.43,,41,
Greece,113.57,,36.6,,10.22,,861,
Greenland,0.52,,-6.5,,9.09,,0,
Grenada,0.24,,100,,2.35,,703,
Guadeloupe,2.16,,67.2,,4.69,,1269,
Guatemala,12.93,,154.2,,0.97,,119,
Guinea,1.39,,31.6,,0.14,,6,
Guinea-Bissau,0.29,,13,,0.19,,8,
Guyana,1.51,,32.2,,1.97,,7,
Haiti,2.4,,141.2,,0.25,,86,
Honduras,8.83,,240.7,,1.23,,79,
Hungary,57.75,,-20.3,,5.76,,621,
Iceland,3.29,,52.3,,10.67,,32,
India, 1 610.00,,133.1,,1.38,,490,
Indonesia,397,,164.7,,1.77,,213,
Iran (Islamic Republic of),495.99,,118.5,,6.85,,305,
Iraq,100,,90.3,,3.4,,228,
Ireland,47.5,,46.6,,10.91,,676,
Israel,66.74,,99,,9.63,,3024,
Italy,475.3,,9.3,,8.01,,1577,
