"Year","State","Emissions","Primary.x","Elec.x","Use.x","Primary.y","Elec.y","Use.y"
1990,"Baden-Württemberg",7.6,"2","8.1","147","2","8.1","147"
1990,"Bayern",7.3,"3.4",".","157.2","3.4",".","157.2"
1990,"Berlin",7.8,"0.6",".","104.1","0.6",".","104.1"
1990,"Brandenburg",31.6,"0.1",".","337","0.1",".","337"
1990,"Bremen",19.7,"1.5","1.6","239","1.5","1.6","239"
1990,"Hamburg",7.4,"0.8",".","146.1","0.8",".","146.1"
1990,"Hessen",7.4,"0.6",".","162.6","0.6",".","162.6"
1990,"Mecklenburg-Vorpommern",8,"0.6",".","126.5","0.6",".","126.5"
1990,"Niedersachsen",10.5,"0.8",".","195.3","0.8",".","195.3"
1990,"Nordrhein-Westfalen",17.2,"0.4","0.3","230.1","0.4","0.3","230.1"
1990,"Rheinland-Pfalz",7.3,"0.9","3.2","154.9","0.9","3.2","154.9"
1990,"Saarland",22.1,"1.2","0","257.1","1.2","0","257.1"
1990,"Sachsen",19.1,"0.1",".","192.8","0.1",".","192.8"
1990,"Sachsen-Anhalt",17.6,"0.1","0","249.8","0.1","0","249.8"
1990,"Schleswig-Holstein",9.3,"0.3",".","225.3","0.3",".","225.3"
1990,"Thüringen",10.7,"0.6",".","135","0.6",".","135"
1991,"Baden-Württemberg",7.9,"1.9","7.5","153","1.9","7.5","153"
1991,"Bayern",7.6,"2.9",".","162.7","2.9",".","162.7"
1991,"Berlin",8,"0.7",".","108.8","0.7",".","108.8"
1991,"Brandenburg",26,"0.3",".","262","0.3",".","262"
1991,"Bremen",19.8,"1.6","1.4","242.9","1.6","1.4","242.9"
1991,"Hamburg",8.3,"0.8",".","156.7","0.8",".","156.7"
1991,"Hessen",7.9,"0.7",".","165.5","0.7",".","165.5"
1991,"Mecklenburg-Vorpommern",5.6,"0.5",".","80.4","0.5",".","80.4"
1991,"Niedersachsen",11.1,"0.7",".","197","0.7",".","197"
1991,"Rheinland-Pfalz",7.8,"0.9","2.9","157.4","0.9","2.9","157.4"
1991,"Saarland",24,"0.9","0","271.6","0.9","0","271.6"
1991,"Sachsen",16.3,"0.2","0.2","165.1","0.2","0.2","165.1"
1991,"Sachsen-Anhalt",13.4,"0.1","0","174.7","0.1","0","174.7"
1991,"Schleswig-Holstein",9,"0.3",".","222.2","0.3",".","222.2"
1991,"Thüringen",8.5,"0.5","0.9","111","0.5","0.9","111"
1992,"Baden-Württemberg",7.7,"1.9","8.1","151.7","1.9","8.1","151.7"
1992,"Bayern",7.4,"3.3",".","159.3","3.3",".","159.3"
1992,"Berlin",7.2,"0.7",".","98.2","0.7",".","98.2"
1992,"Brandenburg",23.1,"0.4",".","235.2","0.4",".","235.2"
1992,"Bremen",18.8,"1.5","1.5","233.3","1.5","1.5","233.3"
1992,"Hamburg",7.5,"0.8",".","146.4","0.8",".","146.4"
1992,"Hessen",7.6,"0.7",".","169.1","0.7",".","169.1"
1992,"Mecklenburg-Vorpommern",5,"0.3",".","81.4","0.3",".","81.4"
1992,"Rheinland-Pfalz",7.5,"0.8","3.6","154.7","0.8","3.6","154.7"
1992,"Saarland",22.6,"0.9","0","264.9","0.9","0","264.9"
1992,"Sachsen",13.7,"0.3","0.3","137.9","0.3","0.3","137.9"
1992,"Sachsen-Anhalt",11.4,"0.2","0.1","158.8","0.2","0.1","158.8"
1992,"Schleswig-Holstein",9,"0.3",".","225.3","0.3",".","225.3"
1992,"Thüringen",7.3,"0.6","1.6","100.4","0.6","1.6","100.4"
1993,"Baden-Württemberg",7.7,"2","7","152.2","2","7","152.2"
1993,"Bayern",7.5,"3.3",".","159.1","3.3",".","159.1"
1993,"Berlin",7.6,"0.6",".","103","0.6",".","103"
1993,"Brandenburg",22.3,"0.5",".","237.1","0.5",".","237.1"
1993,"Bremen",18.2,"1.7","1.8","226","1.7","1.8","226"
1993,"Hamburg",7.8,"0.8",".","149.3","0.8",".","149.3"
1993,"Hessen",7.9,"0.7",".","171.1","0.7",".","171.1"
1993,"Mecklenburg-Vorpommern",5.1,"0.8",".","84","0.8",".","84"
1993,"Rheinland-Pfalz",7.7,"0.8","2.9","156.3","0.8","2.9","156.3"
1993,"Saarland",21.4,"0.8","0","259.4","0.8","0","259.4"
1993,"Sachsen",14.3,"0.1","0.3","143.3","0.1","0.3","143.3"
1993,"Sachsen-Anhalt",10,"0.1","0.1","151.7","0.1","0.1","151.7"
1993,"Schleswig-Holstein",9.2,"0.5",".","196.1","0.5",".","196.1"
1993,"Thüringen",6.4,"0.6","1.8","94.2","0.6","1.8","94.2"
1994,"Baden-Württemberg",7.2,"2.1","7.5","147.8","2.1","7.5","147.8"
1994,"Bayern",7.3,"3.6",".","157.7","3.6",".","157.7"
1994,"Berlin",7.3,"0.6",".","99.5","0.6",".","99.5"
1994,"Brandenburg",21.2,"1.4",".","231.6","1.4",".","231.6"
1994,"Bremen",19.4,"1.4","1.6","240.1","1.4","1.6","240.1"
1994,"Hamburg",7.4,"0.8",".","145.1","0.8",".","145.1"
1994,"Hessen",7.8,"0.7",".","168.8","0.7",".","168.8"
1994,"Mecklenburg-Vorpommern",5.2,"0.8","0.1","84.3","0.8","0.1","84.3"
1994,"Niedersachsen",10.2,"0.7",".","192.7","0.7",".","192.7"
1994,"Rheinland-Pfalz",7.7,"1.2","3.8","158.2","1.2","3.8","158.2"
1994,"Saarland",22.4,"1.1","0","269.4","1.1","0","269.4"
1994,"Sachsen",13.7,"0.2","0.4","137.1","0.2","0.4","137.1"
1994,"Sachsen-Anhalt",9.5,"0.1","0.1","155.9","0.1","0.1","155.9"
1994,"Schleswig-Holstein",9,"0.7",".","187.4","0.7",".","187.4"
1994,"Thüringen",5.5,"0.9","2.6","87.6","0.9","2.6","87.6"
1995,"Baden-Württemberg",7.5,"2","7.8","151.1","2","7.8","151.1"
1995,"Bayern",7.3,"5.5","18.7","163.4","5.5","18.7","163.4"
1995,"Berlin",6.9,"0.5",".","97.7","0.5",".","97.7"
1995,"Brandenburg",19.9,"1.5",".","221.9","1.5",".","221.9"
1995,"Bremen",19.3,"1.9","1.7","240.4","1.9","1.7","240.4"
1995,"Hamburg",7.5,"1",".","146.9","1",".","146.9"
1995,"Hessen",7.7,"1",".","164.9","1",".","164.9"
