"Year","Emissions","State"
"2012","6.2","Hamburg"
"2011","6.4","Hamburg"
"2010","6.4","Hamburg"
"2009","5.8","Hamburg"
"2008","5.7","Hamburg"
"2007","5.7","Hamburg"
"2006","6","Hamburg"
"2005","6.6","Hamburg"
"2004","6.3","Hamburg"
"2003","6.7","Hamburg"
"1997","7.8","Hamburg"
"1996","8.1","Hamburg"
"1995","7.5","Hamburg"
"1994","7.4","Hamburg"
"1993","7.8","Hamburg"
"1992","7.5","Hamburg"
"1991","8.3","Hamburg"
"1990","7.4","Hamburg"
"2012","6.2","Baden-Württemberg"
"2011","6.3","Baden-Württemberg"
"2010","6.2","Baden-Württemberg"
"2009","6.1","Baden-Württemberg"
"2008","6.7","Baden-Württemberg"
"2007","6.5","Baden-Württemberg"
"2006","7.2","Baden-Württemberg"
"2005","7.1","Baden-Württemberg"
"2004","6.9","Baden-Württemberg"
"2003","7","Baden-Württemberg"
"2002","7.1","Baden-Württemberg"
"2001","7.5","Baden-Württemberg"
"2000","7.1","Baden-Württemberg"
"1999","7.3","Baden-Württemberg"
"1998","7.6","Baden-Württemberg"
"1997","7.5","Baden-Württemberg"
"1996","7.9","Baden-Württemberg"
"1995","7.5","Baden-Württemberg"
"1994","7.2","Baden-Württemberg"
"1993","7.7","Baden-Württemberg"
"1992","7.7","Baden-Württemberg"
"1991","7.9","Baden-Württemberg"
"1990","7.6","Baden-Württemberg"
"2012","5.4","Berlin"
"2011","5.1","Berlin"
"2010","5.5","Berlin"
"2009","5","Berlin"
"2008","5.2","Berlin"
"2007","4.9","Berlin"
"2006","5.6","Berlin"
"2005","5.7","Berlin"
"2004","5.8","Berlin"
"2003","6.1","Berlin"
"2002","6.1","Berlin"
"2001","6.9","Berlin"
"2000","6.8","Berlin"
"1999","6.8","Berlin"
"1998","6.6","Berlin"
"1997","6.7","Berlin"
"1996","7","Berlin"
"1995","6.9","Berlin"
"1994","7.3","Berlin"
"1993","7.6","Berlin"
"1992","7.2","Berlin"
"1991","8","Berlin"
"1990","7.8","Berlin"
"2012","5.9","Bayern"
"2011","6","Bayern"
"2010","6.1","Bayern"
"2009","5.9","Bayern"
"2008","6.1","Bayern"
"2007","5.7","Bayern"
"2006","6.3","Bayern"
"2005","6.2","Bayern"
"2004","6.4","Bayern"
"2003","6.6","Bayern"
"2002","6.7","Bayern"
"2001","7.2","Bayern"
"2000","7.1","Bayern"
"1999","7.3","Bayern"
"1998","7.5","Bayern"
"1997","7.3","Bayern"
"1996","7.5","Bayern"
"1995","7.3","Bayern"
"1994","7.3","Bayern"
"1993","7.5","Bayern"
"1992","7.4","Bayern"
"1991","7.6","Bayern"
"1990","7.3","Bayern"
"2012","23.4","Brandenburg"
"2011","22.8","Brandenburg"
"2010","22","Brandenburg"
"2009","20.9","Brandenburg"
"2008","22.2","Brandenburg"
"2007","22.7","Brandenburg"
"2006","22.7","Brandenburg"
"2005","23.3","Brandenburg"
"2004","22.8","Brandenburg"
"2003","22.4","Brandenburg"
"2002","23.6","Brandenburg"
"2001","23.3","Brandenburg"
"2000","23.1","Brandenburg"
"1999","22.2","Brandenburg"
"1998","22.9","Brandenburg"
"1997","19.7","Brandenburg"
"1996","19.7","Brandenburg"
"1995","19.9","Brandenburg"
"1994","21.2","Brandenburg"
"1993","22.3","Brandenburg"
"1992","23.1","Brandenburg"
"1991","26","Brandenburg"
"1990","31.6","Brandenburg"
"2012","20.6","Bremen"
"2011","20.2","Bremen"
"2010","21","Bremen"
"2009","18.8","Bremen"
"2008","19.6","Bremen"
"2007","20.4","Bremen"
"2006","19","Bremen"
"2005","18.3","Bremen"
"2004","19.6","Bremen"
"2003","22","Bremen"
"2002","21.1","Bremen"
"2001","21.2","Bremen"
"2000","21.1","Bremen"
"1999","19.1","Bremen"
"1998","20.5","Bremen"
"1997","20.8","Bremen"
"1996","20.9","Bremen"
"1995","19.3","Bremen"
"1994","19.4","Bremen"
"1993","18.2","Bremen"
"1992","18.8","Bremen"
"1991","19.8","Bremen"
"1990","19.7","Bremen"
"2012","6.1","Hessen"
"2011","6.1","Hessen"
"2010","6.3","Hessen"
