"State","Year","CO2Tons"
"Baden-Württemberg",1990,"74374"
"Baden-Württemberg",1991,"78590"
"Baden-Württemberg",1992,"78036"
"Baden-Württemberg",1993,"78673"
"Baden-Württemberg",1994,"74535"
"Baden-Württemberg",1995,"78074"
"Baden-Württemberg",1996,"81758"
"Baden-Württemberg",1997,"78570"
"Baden-Württemberg",1998,"80080"
"Baden-Württemberg",1999,"77379"
"Baden-Württemberg",2000,"74940"
"Baden-Württemberg",2001,"80108"
"Baden-Württemberg",2002,"76549"
"Baden-Württemberg",2003,"75598"
"Baden-Württemberg",2004,"74768"
"Baden-Württemberg",2005,"77222"
"Baden-Württemberg",2006,"78283"
"Baden-Württemberg",2007,"70952"
"Baden-Württemberg",2008,"72556"
"Baden-Württemberg",2009,"66153"
"Baden-Württemberg",2010,"67565"
"Baden-Württemberg",2011,"66336"
"Baden-Württemberg",2012,"65889"
"Bayern",1990,"84544"
"Bayern",1991,"88972"
"Bayern",1992,"87041"
"Bayern",1993,"90335"
"Bayern",1994,"87871"
"Bayern",1995,"88307"
"Bayern",1996,"92265"
"Bayern",1997,"89837"
"Bayern",1998,"92708"
"Bayern",1999,"90590"
"Bayern",2000,"88705"
"Bayern",2001,"90377"
"Bayern",2002,"84578"
"Bayern",2003,"83783"
"Bayern",2004,"83190"
"Bayern",2005,"80541"
"Bayern",2006,"81879"
"Bayern",2007,"74972"
"Bayern",2008,"80430"
"Bayern",2009,"77930"
"Bayern",2010,"80022"
"Bayern",2011,"78505"
"Bayern",2012,"77968"
"Berlin",1990,"26941"
"Berlin",1991,"27957"
"Berlin",1992,"25234"
"Berlin",1993,"26643"
"Berlin",1994,"25531"
"Berlin",1995,"24445"
"Berlin",1996,"24726"
"Berlin",1997,"23560"
"Berlin",1998,"22876"
"Berlin",1999,"23693"
"Berlin",2000,"23661"
"Berlin",2001,"24068"
"Berlin",2002,"21281"
"Berlin",2003,"21249"
"Berlin",2004,"20184"
"Berlin",2005,"19998"
"Berlin",2006,"19915"
"Berlin",2007,"17466"
"Berlin",2008,"18517"
"Berlin",2009,"17928"
"Berlin",2010,"19772"
"Berlin",2011,"17680"
"Berlin",2012,"18833"
"Brandenburg",1990,"81894"
"Brandenburg",1991,"66751"
"Brandenburg",1992,"58894"
"Brandenburg",1993,"57104"
"Brandenburg",1994,"54011"
"Brandenburg",1995,"50791"
"Brandenburg",1996,"50312"
"Brandenburg",1997,"50762"
