,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Baden-Württemberg,2.00,1.90,1.90,2.00,2.10,2.00,1.90,2.10,2.00,2.20,2.80,3.00,2.70,4.40,5.00,5.90,7.40,8.70,8.70,9.30,10.50,10.40,12.10,11.90
Bayern,3.40,2.90,3.30,3.30,3.60,5.50,5.20,5.30,5.40,5.90,6.40,6.40,7.20,6.90,7.20,8.00,9.20,10.40,10.10,10.70,12.90,14.20,15.60,K.D.
Berlin,0.60,0.70,0.70,0.60,0.60,0.50,0.50,0.40,0.60,0.60,0.70,0.60,0.70,0.60,0.90,1.10,1.70,2.20,2.20,2.90,3.20,3.30,3.60,K.D.
Brandenburg,0.10,0.30,0.40,0.50,1.40,1.50,0.50,0.60,1.20,1.60,1.80,2.10,2.90,5.30,6.20,6.80,10.40,13.30,13.20,14.70,16.80,17.70,18.40,K.D.
Bremen,1.50,1.60,1.50,1.70,1.40,1.90,1.60,1.60,1.70,1.90,1.80,1.90,2.00,2.40,2.20,4.00,3.90,3.80,4.40,5.00,4.90,5.00,5.20,5.90
Hamburg,0.80,0.80,0.80,0.80,0.80,1.00,0.90,1.00,K.D.,K.D.,K.D.,K.D.,K.D.,1.90,2.50,3.10,4.50,5.20,4.80,5.10,4.40,4.60,4.80,K.D.
Hessen,0.60,0.70,0.70,0.70,0.70,1.00,0.70,0.80,0.80,0.80,2.00,2.30,2.40,3.10,3.20,3.70,4.80,5.70,5.00,6.10,6.70,7.80,8.30,K.D.
Mecklenburg-Vorpommern,0.60,0.50,0.30,0.80,0.80,1.50,1.50,1.40,1.90,2.70,4.50,4.60,6.40,7.20,10.20,12.40,15.20,20.20,24.00,26.40,22.60,27.00,30.60,K.D.
Niedersachsen,0.80,0.70,K.D.,K.D.,0.70,K.D.,0.40,K.D.,1.30,K.D.,1.70,K.D.,2.20,K.D.,5.00,K.D.,7.90,K.D.,10.30,11.10,12.20,12.60,14.70,K.D.
Nordrhein-Westfalen,0.40,0.40,0.40,0.40,0.50,0.50,0.50,0.60,0.70,0.90,0.90,1.20,1.20,1.10,2.00,2.70,3.40,3.50,3.60,3.70,3.70,3.80,4.30,4.30
Rheinland-Pfalz,0.90,0.90,0.80,0.80,1.20,0.90,1.10,1.20,1.60,1.60,1.90,1.90,1.90,2.20,3.20,3.80,6.80,8.50,8.10,9.20,9.50,9.80,10.70,11.30
Saarland,1.20,0.90,0.90,0.80,1.10,1.00,0.30,0.30,0.70,0.70,0.80,0.90,1.00,1.20,1.70,2.20,2.20,2.50,2.90,2.90,3.30,3.20,3.00,K.D.
Sachsen,0.10,0.20,0.30,0.10,0.20,0.30,0.30,0.40,0.60,0.60,0.60,0.70,1.00,1.40,2.50,3.10,4.90,6.00,6.20,6.80,7.50,7.90,8.10,8.50
Sachsen-Anhalt,0.10,0.10,0.20,0.10,0.10,0.10,0.20,0.30,0.40,0.50,1.10,1.50,2.20,K.D.,4.50,6.20,10.00,13.20,14.20,14.90,14.50,16.40,16.90,18.10
Schleswig-Holstein,0.30,0.30,0.30,0.50,0.70,0.90,0.90,1.10,1.60,1.50,1.80,1.90,2.60,3.10,3.70,4.20,5.20,7.80,9.40,10.20,12.00,14.50,17.00,K.D.
Thüringen,0.60,0.50,0.60,0.60,0.90,1.10,1.10,1.60,1.80,2.00,3.50,3.90,7.10,11.20,13.20,14.00,15.40,19.30,18.90,19.10,20.40,21.50,21.70,23.10
Deutschland,1.30,1.30,1.40,1.60,1.80,1.90,1.80,2.40,2.60,2.80,2.90,2.90,3.20,3.80,4.50,5.30,6.30,7.90,8.00,8.90,9.90,10.80,10.30,10.80
