[%],1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Baden-Württemberg,8.10,7.50,8.10,7.00,7.50,7.80,6.60,7.40,6.30,7.20,11.60,8.70,8.60,6.30,7.40,8.80,10.30,11.50,11.60,12.30,14.00,15.50,18.30,18.90
Bayern,K.D.,K.D.,K.D.,K.D.,K.D.,18.70,17.00,16.50,17.30,19.20,19.10,18.00,20.60,18.20,19.00,18.40,20.00,22.10,22.60,24.60,26.40,27.70,32.70,K.D.
Berlin,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,0.60,0.70,0.80,0.80,0.80,1.10,2.10,2.80,2.80,2.10,K.D.
Brandenburg,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,6.00,9.30,15.10,19.80,23.50,29.70,41.10,39.80,43.00,50.60,57.60,58.60,K.D.
Bremen,1.60,1.40,1.50,1.80,1.60,1.70,1.70,1.60,1.80,1.90,1.90,2.60,2.20,2.30,2.60,4.00,4.30,5.10,5.90,6.20,7.20,9.00,10.30,12.60
Hamburg,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,1.20,1.30,1.40,2.70,2.80,2.90,2.90,2.60,2.80,2.90,K.D.
Hessen,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,2.80,2.90,3.50,3.80,4.30,5.40,5.50,6.50,7.80,9.80,11.10,K.D.
Mecklenburg-Vorpommern,K.D.,K.D.,K.D.,K.D.,0.10,1.50,2.00,3.50,5.50,7.90,12.20,13.60,20.30,20.90,31.20,31.50,32.70,46.90,54.00,54.50,56.70,72.90,90.20,K.D.
Niedersachsen,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,14.30,K.D.,19.00,K.D.,26.80,27.00,27.50,34.60,40.20,34.60
Nordrhein-Westfalen,0.30,0.40,0.50,0.50,0.50,0.80,0.70,0.80,1.00,1.10,1.10,1.90,3.30,3.60,4.80,5.70,5.80,6.10,4.70,8.00,7.90,8.90,9.70,10.60
Rheinland-Pfalz,3.20,2.90,3.60,2.90,3.80,3.60,2.80,3.50,4.10,4.00,4.80,5.40,5.40,5.40,7.50,7.90,10.10,12.60,13.00,14.40,15.20,16.70,20.60,23.10
Saarland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,1.20,1.10,2.10,2.30,4.20,4.00,5.40,5.90,6.10,K.D.
Sachsen,K.D.,0.20,0.30,0.30,0.40,0.90,1.10,1.40,2.20,2.80,3.00,3.80,5.00,5.20,7.30,7.90,8.50,11.50,12.00,13.20,13.60,16.80,18.40,19.90
Sachsen-Anhalt,0.00,0.00,0.10,0.10,0.10,0.20,0.40,0.70,1.30,2.00,4.60,6.40,10.20,13.90,15.80,18.90,22.90,34.30,39.00,42.30,41.90,49.60,53.90,57.10
Schleswig-Holstein,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,K.D.,22.00,22.00,27.50,27.70,27.60,37.80,45.10,47.70,51.30,60.80,70.30,K.D.
Thüringen,K.D.,0.90,1.60,1.80,2.60,2.80,2.20,2.60,3.30,3.60,7.30,7.90,8.30,7.70,11.20,11.10,12.30,17.80,18.00,19.80,19.50,23.60,25.60,28.90
Deutschland,K.D.,3.80,3.90,4.10,4.40,4.70,4.20,4.40,4.80,5.30,6.60,6.70,8.00,7.70,9.50,10.40,11.80,14.50,15.40,16.60,17.40,20.20,24.00,25.10
